Player_Name,Year,Matches_Batted,Runs_Scored,Batting_Average,Batting_Strike_Rate,Balls_Faced,Matches_Bowled,Balls_Bowled,Wickets_Taken,Bowling_Average,Economy_Rate,Batsman_Type,Bowler_Type,Batsman_Dominance,Bowler_Dominance,Rolling_Avg_Runs
Kamlesh Nagarkoti,2020.0,10,22.0,7.33,70.96,31.0,10,156,5.0,46.2,8.88,Anchor,Pace,7.99099099099099,6.302864938608459,7.333333333333333
Karim Janat,,,,,,,,,,,,Anchor,Spin,,,
Karn Sharma,2024.0,9,31.0,10.33,206.67,15.0,9.0,144.0,7.0,36.29,10.58,Aggressive,Pace,19.534026465028354,3.5130687318489833,31.0
Karn Sharma,2023.0,7,3.0,1.5,60.0,5.0,7.0,129.0,10.0,22.3,10.37,Anchor,Pace,5.785920925747349,14.866666666666667,17.0
Karn Sharma,2020.0,5,0.0,0.0,0.0,0.0,5.0,114.0,5.0,33.0,8.68,Anchor,Pace,0.0,inf,11.333333333333334
Karn Sharma,2019.0,1,0.0,0.0,0.0,0.0,1.0,17.0,1.0,33.0,11.64,Anchor,Pace,0.0,inf,1.0
Karn Sharma,2018.0,6,0.0,0.0,0.0,0.0,6.0,57.0,4.0,22.25,9.36,Anchor,Pace,0.0,inf,0.0
Karn Sharma,2017.0,9,49.0,8.16,119.51,41.0,9.0,184.0,13.0,16.46,6.97,Anchor,Spin,17.146341463414636,2.017156862745098,16.333333333333332
Karn Sharma,2016.0,5,36.0,0.0,120.0,30.0,5.0,98.0,0.0,0.0,10.46,Anchor,Pace,11.47227533460803,,28.333333333333332
Karn Sharma,2015.0,14,104.0,17.33,122.35,85.0,14.0,239.0,10.0,33.2,8.33,Anchor,Spin,14.687875150060023,1.9157530294287366,63.0
Karn Sharma,2014.0,14,42.0,10.5,144.82,29.0,14.0,304.0,15.0,25.06,7.42,Aggressive,Spin,19.51752021563342,2.3866666666666667,60.666666666666664
Karn Sharma,2013.0,13,85.0,21.25,98.83,86.0,13.0,209.0,11.0,20.9,6.6,Anchor,Spin,14.974242424242425,0.9835294117647058,77.0
Karn Sharma,2009.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anchor,Spin,,,42.333333333333336
Karun Nair,2020.0,4,16.0,8.0,114.28,14.0,4.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,16.0
Karun Nair,2019.0,1,5.0,5.0,83.33,6.0,0.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,10.5
Karun Nair,2018.0,13,301.0,25.08,136.19,221.0,13.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,107.33333333333333
Karun Nair,2017.0,14,281.0,21.61,124.33,226.0,14.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,195.66666666666666
Karun Nair,2016.0,14,357.0,35.7,120.2,297.0,14.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,313.0
Karun Nair,2015.0,14,181.0,16.45,124.82,145.0,14.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,273.0
Karun Nair,2014.0,11,330.0,33.0,142.24,232.0,11.0,0.0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,289.3333333333333
Karun Nair,2013.0,2,9.0,4.5,75.0,12.0,0.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,173.33333333333334
Khaleel Ahmed,2024.0,14,0.0,0.0,0.0,0.0,14,300,17.0,28.18,9.58,Anchor,Pace,0.0,inf,0.0
Khaleel Ahmed,2023.0,9,0.0,0.0,0.0,0.0,9,198,9.0,33.44,9.12,Anchor,Pace,0.0,inf,0.0
Khaleel Ahmed,2022.0,10,0.0,0.0,0.0,2.0,10,235,16.0,19.69,8.04,Anchor,Spin,0.0,inf,0.0
Khaleel Ahmed,2021.0,7,1.0,1.0,50.0,2.0,7,162,5.0,43.8,8.11,Anchor,Spin,6.165228113440198,43.8,0.3333333333333333
Khaleel Ahmed,2020.0,7,0.0,0.0,0.0,2.0,7,154,8.0,30.25,9.42,Anchor,Pace,0.0,inf,0.3333333333333333
Khaleel Ahmed,2019.0,9,0.0,0.0,0.0,1.0,9,209,19.0,15.1,8.23,Anchor,Spin,0.0,inf,0.3333333333333333
Khaleel Ahmed,2018.0,1,0.0,0.0,0.0,0.0,1,18,0.0,0.0,12.66,Anchor,Pace,0.0,,0.0
Krunal Pandya,2024.0,14,133.0,33.25,126.67,105.0,14,198,6.0,42.5,7.73,Anchor,Spin,16.38680465717982,1.2781954887218046,133.0
Krunal Pandya,2023.0,15,188.0,18.8,113.94,165.0,15,252,9.0,34.78,7.45,Anchor,Spin,15.293959731543623,1.85,160.5
Krunal Pandya,2022.0,14,183.0,20.33,126.21,145.0,14,228,10.0,26.5,6.97,Anchor,Spin,18.10760401721664,1.3034923757993115,168.0
Krunal Pandya,2021.0,13,143.0,14.3,116.26,123.0,13,199,5.0,53.0,7.98,Anchor,Spin,14.568922305764412,3.7062937062937062,171.33333333333334
Krunal Pandya,2020.0,16,109.0,18.16,118.47,92.0,16,301,6.0,63.33,7.57,Anchor,Spin,15.649933949801849,3.4873348017621146,145.0
Krunal Pandya,2019.0,16,183.0,16.63,122.0,150.0,16,276,12.0,27.91,7.28,Anchor,Spin,16.75824175824176,1.678292242934456,145.0
Krunal Pandya,2018.0,14,228.0,22.8,145.22,157.0,14,241,12.0,23.66,7.07,Aggressive,Spin,20.54031117397454,1.037719298245614,173.33333333333334
Krunal Pandya,2017.0,13,243.0,34.71,135.75,179.0,13,240,10.0,27.3,6.82,Anchor,Spin,19.904692082111435,0.7865168539325843,218.0
Krunal Pandya,2016.0,12,237.0,39.5,191.12,124.0,12,187,6.0,39.33,7.57,Aggressive,Spin,25.247027741083222,0.9956962025316455,236.0
Kuldeep Sen,2024.0,3,0.0,0.0,0.0,0.0,3,72,6.0,20.33,10.17,Anchor,Pace,0.0,inf,0.0
Kuldeep Sen,2023.0,2,0.0,0.0,0.0,0.0,2,18,0.0,0.0,9.33,Anchor,Pace,0.0,,0.0
Kuldeep Sen,2022.0,7,0.0,0.0,0.0,3.0,7,151,8.0,29.63,9.42,Anchor,Pace,0.0,inf,0.0
Kuldeep Yadav,2024.0,11,47.0,15.67,114.63,41.0,11,258,16.0,23.38,8.7,Anchor,Pace,13.175862068965518,1.492022973835354,47.0
Kuldeep Yadav,2023.0,14,31.0,15.5,64.58,48.0,14,294,10.0,36.1,7.37,Anchor,Spin,8.762550881953867,2.329032258064516,39.0
Kuldeep Yadav,2022.0,14,48.0,48.0,92.31,52.0,14,298,21.0,19.95,8.44,Anchor,Spin,10.937203791469194,0.41562499999999997,42.0
Kuldeep Yadav,2020.0,5,13.0,13.0,61.9,21.0,5,72,1.0,92.0,7.66,Anchor,Spin,8.080939947780678,7.076923076923077,30.666666666666668
Kuldeep Yadav,2019.0,9,12.0,6.0,150.0,8.0,9,198,4.0,71.5,8.66,Aggressive,Pace,17.321016166281755,11.916666666666666,24.333333333333332
Kuldeep Yadav,2018.0,16,12.0,12.0,50.0,24.0,16,308,17.0,24.58,8.14,Anchor,Spin,6.142506142506142,2.0483333333333333,12.333333333333334
Kuldeep Yadav,2017.0,12,20.0,10.0,90.9,22.0,12,246,12.0,28.33,8.29,Anchor,Spin,10.965018094089267,2.8329999999999997,14.666666666666666
Kuldeep Yadav,2016.0,3,0.0,0.0,0.0,0.0,3,72,6.0,16.66,8.33,Anchor,Spin,0.0,inf,10.666666666666666
Kulwant Khejroliya,2019.0,0,0.0,0.0,0.0,0.0,2.0,30.0,1.0,47.0,9.4,Anchor,Pace,0.0,inf,0.0
Kulwant Khejroliya,2018.0,0,0.0,0.0,0.0,0.0,3.0,65.0,2.0,53.5,9.87,Anchor,Pace,0.0,inf,0.0
Kulwant Khejroliya,,,,,,,0.0,0.0,0.0,0.0,0.0,Anchor,Spin,,,0.0
Kumar Kartikeya Singh,2023.0,8,6.0,6.0,85.71,7.0,8,156,5.0,45.4,8.73,Anchor,Pace,9.817869415807559,7.566666666666666,6.0
Kumar Kartikeya Singh,2022.0,4,3.0,3.0,60.0,5.0,4,78,5.0,20.4,7.85,Anchor,Spin,7.643312101910828,6.8,4.5
Kumar Kushagra,2024.0,4,3.0,1.0,42.86,7.0,4,0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,3.0
Kunal Rathore,,,,,,,,,,,,Anchor,Spin,,,
Kwena Maphaka,2024.0,2,0.0,0.0,0.0,0.0,2,36,1.0,89.0,14.83,Anchor,Pace,0.0,inf,0.0
Liam Livingstone,2024.0,7,111.0,22.2,142.31,78.0,7,72,3.0,28.0,7.0,Aggressive,Spin,20.330000000000002,1.2612612612612613,111.0
Liam Livingstone,2023.0,9,279.0,34.88,163.16,171.0,9,42,2.0,47.0,13.43,Aggressive,Pace,12.14892032762472,1.3474770642201834,195.0
Liam Livingstone,2022.0,14,437.0,36.42,182.08,240.0,14,138,6.0,33.67,8.78,Aggressive,Pace,20.738041002277907,0.9244920373421197,275.6666666666667
Liam Livingstone,2021.0,5,42.0,8.4,102.43,41.0,5,0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,252.66666666666666
Liam Livingstone,2019.0,4,70.0,23.33,145.83,48.0,4,6,0.0,0.0,13.0,Aggressive,Pace,11.217692307692309,0.0,183.0
Lockie Ferguson,2024.0,7,1.0,1.0,100.0,1.0,7,144,9.0,28.33,10.63,Anchor,Pace,9.40733772342427,28.33,1.0
Lockie Ferguson,2023.0,3,0.0,0.0,0.0,0.0,3,46,1.0,96.0,12.52,Anchor,Pace,0.0,inf,0.5
Lockie Ferguson,2022.0,13,5.0,2.5,125.0,4.0,13,286,12.0,35.58,8.96,Anchor,Pace,13.950892857142856,14.232,2.0
Lockie Ferguson,2021.0,8,18.0,0.0,163.63,11.0,8,180,13.0,17.23,7.46,Aggressive,Spin,21.9343163538874,inf,7.666666666666667
Lockie Ferguson,2020.0,5,43.0,0.0,148.27,29.0,5,119,6.0,24.66,7.46,Aggressive,Spin,19.875335120643435,inf,22.0
