Player_Name,Year,Matches_Batted,Runs_Scored,Batting_Average,Batting_Strike_Rate,Balls_Faced,Matches_Bowled,Balls_Bowled,Wickets_Taken,Bowling_Average,Economy_Rate,Batsman_Type,Bowler_Type,Batsman_Dominance,Bowler_Dominance,Rolling_Avg_Runs
Rahul Chahar,2017.0,3,3.0,0.0,150.0,2.0,3,42,2.0,29.0,8.28,Aggressive,Spin,18.115723240057488,290000.0,18.428571428571427
Rahul Tewatia,2024.0,12,188.0,26.86,145.74,129.0,12,0,0.0,0.0,0.0,Aggressive,Spin,1457400.0,0.0,188.0
Rahul Tewatia,2023.0,17,87.0,21.75,152.63,57.0,17,13,0.0,0.0,6.92,Aggressive,Spin,22.056039652606177,0.0,137.5
Rahul Tewatia,2022.0,16,217.0,31.0,147.62,147.0,16,36,0.0,0.0,12.67,Aggressive,Pace,11.651052477880995,0.0,164.0
Rahul Tewatia,2021.0,14,155.0,15.5,105.44,147.0,14,222,8.0,42.5,9.18,Anchor,Pace,11.485713663249856,2.741917794078748,161.75
Rahul Tewatia,2020.0,14,255.0,42.5,139.34,183.0,14,276,10.0,32.6,7.08,Anchor,Spin,19.680512987104702,0.7670570186893677,180.4
Rahul Tewatia,2019.0,5,26.0,26.0,118.18,22.0,5,38,2.0,21.0,6.63,Anchor,Spin,17.824768857181642,0.80768920119538,154.66666666666666
Rahul Tewatia,2018.0,8,50.0,16.66,116.27,43.0,8,132,6.0,28.83,7.86,Anchor,Spin,14.792432666251065,1.730481809833074,139.71428571428572
Rahul Tewatia,2017.0,3,19.0,19.0,172.72,11.0,3,54,3.0,16.33,5.44,Aggressive,Spin,31.74941637102259,0.8594691606886279,124.625
Rahul Tewatia,2015.0,1,0.0,0.0,0.0,0.0,1,18,1.0,31.0,10.33,Anchor,Pace,0.0,310000.0,110.77777777777777
Rahul Tewatia,2014.0,3,16.0,16.0,123.07,13.0,3,54,2.0,29.5,6.55,Anchor,Spin,18.7890261217386,1.843738476634521,101.3
Rahul Tripathi,2024.0,6,165.0,27.5,143.48,115.0,6,0,0.0,0.0,0.0,Aggressive,Spin,1434799.9999999998,0.0,165.0
Rahul Tripathi,2023.0,13,273.0,22.75,128.17,213.0,13,0,0.0,0.0,0.0,Anchor,Spin,1281699.9999999998,0.0,219.0
Rahul Tripathi,2022.0,14,413.0,37.55,158.24,261.0,14,0,0.0,0.0,0.0,Aggressive,Spin,1582400.0,0.0,283.6666666666667
Rahul Tripathi,2021.0,17,397.0,28.35,140.28,283.0,17,0,0.0,0.0,0.0,Aggressive,Spin,1402800.0,0.0,312.0
Rahul Tripathi,2020.0,11,230.0,23.0,127.07,181.0,11,0,0.0,0.0,0.0,Anchor,Spin,1270699.9999999998,0.0,295.6
Rahul Tripathi,2019.0,8,141.0,23.5,119.49,118.0,8,0,0.0,0.0,0.0,Anchor,Spin,1194900.0,0.0,269.8333333333333
Rahul Tripathi,2018.0,12,226.0,25.11,135.32,167.0,12,0,0.0,0.0,0.0,Anchor,Spin,1353199.9999999998,0.0,263.57142857142856
Rahul Tripathi,2017.0,14,391.0,27.92,146.44,267.0,14,6,0.0,0.0,12.0,Aggressive,Pace,12.203231639736336,0.0,279.5
Raj Angad Bawa,2022.0,2,11.0,5.5,78.57,14.0,2,0,0.0,0.0,0.0,Anchor,Spin,785699.9999999999,0.0,11.0
Rajat Patidar,2024.0,15,395.0,30.38,177.13,223.0,15,0,0.0,0.0,0.0,Aggressive,Spin,1771299.9999999998,0.0,395.0
Rajat Patidar,2022.0,8,333.0,55.5,152.75,218.0,8,0,0.0,0.0,0.0,Aggressive,Spin,1527500.0,0.0,364.0
Rajat Patidar,2021.0,4,71.0,17.75,114.51,62.0,4,0,0.0,0.0,0.0,Anchor,Spin,1145100.0,0.0,266.3333333333333
Rajvardhan Hangargekar,2023.0,2,0.0,0.0,0.0,0.0,2,36,3.0,20.0,10.0,Anchor,Pace,0.0,200000.0,0.0
Ramakrishna Ghosh,,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,Anchor,Spin,0.0,0.0,0.0
Ramandeep Singh,2024.0,14,125.0,31.25,201.61,62.0,15,4,0.0,0.0,13.5,Aggressive,Pace,14.933963452122578,0.0,125.0
